『你们中间若有缺少智慧的，应当求那厚赐与众人、也不斥责人的神，主就必赐给他』	（雅1：5）
『参孙求告耶和华说：主耶和华啊，求你眷念我。神啊，求你赐我这一次的力量，使我在非利士人身上报那剜我双眼的仇』	（士16：28）
『你们得救是本乎恩』	（弗2：8）
『也因著信』	（弗2：8）
『这并不是出于自己，乃是神所赐的』	（弗2：8）
『也不是出于行为，免得有人自夸』	（弗2：9）
『人若无有，自己还以为有，就是自欺了』	（加6：3）
『那在你们心里动了善工的，必成全这工』	（腓1：6）
『我靠著那加给我力量的，凡事都能做』	（腓4：13）
『耶和华是我的力量』	（诗28：7）
『这样，怎么说呢？我们可以仍在罪中、叫恩典显多么？』	（罗6：1）
『这却怎么样呢？我们在恩典之下，不在律法之下，就可以犯罪么？断乎不可！』	（罗6：15）
『你们不可徒受他的恩典』	（林后6：1）
『他	（圣灵）既来了，就要叫世人为罪、为义、为审判，自己责备自己』	（约16：8）
『要叫你们想起我对你们所说的一切话』	（约14：26）
『不要销灭圣灵的感动』	（帖前5：19）
『不要自欺，上帝是轻慢不得的』	（加6：7）
『非圣洁，没有人能见主』	（来12：14）
『这等人不是从血气生的，不是从情欲生的，也不是从人意生的，乃是从神生的』	（约1：13）
『莫想我来要废掉律法和先知。我来不是要废掉，乃是要成全』	（太5：17）
『就是到天地都废去了，律法的一点一画也不能废去，都要成全』	（太5：18）
『我来本不是召义人悔改，乃是召罪人悔改』	（路5：32）
『我喜爱怜恤，不喜爱祭祀』	（太9：13）
『康健的人用不著医生，有病的人才用得著』	（太9：12）
『是税吏和罪人的朋友』	（太11：19）
『和税吏并罪人一同吃饭』	（太9：11）
『神使那无罪的，替我们成为罪，好叫我们在他里面成为神的义』	（林后5：21）
『看见妇女就动淫念的，这人心里已经与她犯奸淫了』	（太5：28）
『要孝敬父母，使你得福，在世长寿。这是第一条带应许的诫命』	（弗6：2）
『安息日是为人设立的，人不是为安息日设立的』	（可2：27）
『这女人本是亚伯拉罕的后裔，被撒但捆绑了这十八年，不当在安息日解开她的绑吗？』	（路13：16）
『人子是安息日的主』	（太12：8）
『你们不可停止聚会，好像那些停止惯了的人』	（来10：25）
『做工的得工价，不算恩典，乃是该得的；惟有不做工的，只信称罪人为义的神，他的信就算为义』	（罗4：4-5）
『只是人没有都听从福音，因为以赛亚说：主啊，我们所传的有谁信呢？』	（罗10：16）
『若不是被圣灵感动的，也没有能说耶稣是主的』	（林前12：3）
『耶和华专爱你们，拣选你们，并非因你们的人数多于别民』	（申7：7）
『不是你们拣选了我、是我拣选了你们』	（约15：16）
『神从创立世界以前、在基督里拣选了我们』	（弗1：4）
『若不是蒙我父的恩赐，没有人能到我这里来』	（约6：65）
『你们死在过犯罪恶之中』	（弗2：1）
『你们从前在过犯和未受割礼的肉体中死了』	（西2：13）
『神啊，开恩可怜我这个罪人！』	（路18：13）
『如今却蒙神的恩典，因基督耶稣的救赎，就白白的称义』	（罗3：24）
『他也必坚固你们到底，叫你们在我们主耶稣基督的日子无可责备』	（林前1：8）
『凡靠著他进到神面前的人，他都能拯救到底；因为他是长远活著，替他们祈求』	（来7：25）
『你看父赐给我们是何等的慈爱，使我们得称为神的儿女』	（约壹3：1）
『感谢神！因为你们从前虽然作罪的奴仆，现今却从心里顺服了所传给你们道理的模范』	（罗6：17）
『在各样善事上成全你们，叫你们遵行他的旨意；又藉著耶稣基督在你们心里行他所喜悦的事』	（来13：21）
『各样美善的恩赐、、、、都是从上头来的，从众光之父那里降下来的』	（雅1：17）
『有一件事，我曾求耶和华，我仍要寻求：就是一生一世住在耶和华的殿中，瞻仰他的荣美』	（诗27：4）
『耶和华肯救我，所以，我们要一生一世在耶和华殿中用丝弦的乐器唱我的诗歌』	（赛38：20）
『除你以外，在天上我有谁呢？除你以外，在地上我也没有所爱慕的』	（诗73：25）
『我的心哪，你曾对耶和华说：你是我的主；我的好处不在你以外』	（诗16：20）
『你要保守所托付你的，躲避世俗的虚谈和那敌真道、似是而非的学问』	（提前6：12）
『要为从前一次交付圣徒的真道竭力的争辩。』	（犹1：3）
『做工的得工价，不算恩典，乃是该得的』	（罗4：4）
『惟有不做工的，只信称罪人为义的神，他的信就算为义』	（罗4：5）
『就如神从创立世界以前，在基督里拣选了我们，使我们在他面前成为圣洁，无有瑕疵』	（弗1：4）
『只是人没有都听从福音』	（罗10：16）
『但我要使	（或作：任凭）法老的心刚硬』	（出4：21）
『若有人要跟从我，就当舍己，背起他的十字架来跟从我』	（太16：24）
『世人凭自己的智慧，既不认识神，神就乐意用人所当作愚拙的道理，拯救那些信的人』	（林前1：21）
『属血气的人不领会神圣灵的事，反倒以为愚拙，并且不能知道，因为这些事惟有属灵的人才能看透』	（林前2：14）
『耶稣说我就是道路、真理、生命』	（约14：6）
『我以永远的爱爱你』	（耶31：3）
『昼夜控告我们的』	（启12：10）
『谁能使我们与基督的爱隔绝呢？』	（罗8：35）
『我们就可以在审判的日子坦然无惧』	（约壹4：17）
『万事都互相效力，叫爱神的人得益处，就是按他旨意被召的人』	（罗8：23）
『但保惠师，就是父因我的名所要差来的圣灵，、、、要叫你们想起我对你们所说的一切话。』	（约14：26）
『你爱我比这些更深吗？』	（约21：15）
『智慧岂不呼叫？聪明岂不发声？』	（箴8：1）
『隐秘的事是属耶和华我们神的；惟有明显的事是永远属我们和我们子孙的，好叫我们遵行这律法上的一切话』	（申29：29）
『人子固然要照所预定的去世，但卖人子的人有祸了』	（路22：22）
『	（犹大）他说这话，并不是挂念穷人，乃因他是个贼，又带著钱囊，常取其中所存的』	（约12：6）
『耶和华所造的，各适其用；就是恶人也为祸患的日子所造』	（箴16：4）
『我们原是他的工作，在基督耶稣里造成的，为要叫我们行善，就是神所预备叫我们行的。』	（弗2：10）
『神、、、将悔改的心和赦罪的恩赐给以色列人』	（徒5：31）
『何况这尼尼微大城，其中不能分辨左手右手的有十二万多人，并有许多牲畜，我岂能不爱惜呢？』	（拿4：11）
『因为不信的丈夫就因著妻子成了圣洁，并且不信的妻子就因著丈夫成了圣洁；不然，你们的儿女就不洁净，但如今他们是圣洁的了』	（林前7：14）
『你或向左或向右，你必听见后边有声音说：「这是正路，要行在其间。」』	（赛30：21）
『你们得不著，是因为你们不求』	（雅4：2）
『又有鬼从好些人身上出来，喊著说：「你是神的儿子。」耶稣斥责他们，不许他们说话。因为他们知道他是基督』	（路4：41）
『被召的人多，选上的人少』	（太20：16）
『就打发仆人去，请那些被召的人来赴席，他们却不肯来』	（太22：3）
『将悔改的心和赦罪的恩赐给以色列人』	（徒5：31）
『凡事检验』的上帝命令	（帖前5：21）
『就要爱慕那纯净的灵奶，像才生的婴孩爱慕奶一样，叫你们因此渐长，以致得救』	（彼前2：2）
『你们这因信蒙神能力保守的人，必能得著所预备、到末世要显现的救恩』	（彼前1：5）
『你们祈求，就给你们；寻找，就寻见；叩门，就给你们开门。』	（太 7：7）
『凡祈求的，就得著；寻找的，就寻见；叩门的，就给他开门』	（太7：8）
『你们弃绝这道，断定自己不配得永生』	（徒13：46）
『差我来者的意思就是：他所赐给我的，叫我一个也不失落』	（约6：39）
『狗所吐的，他转过来又吃；猪洗净了又回到泥里去滚』	（彼后2：22）
『你奉差遣不是往那说话深奥、言语难懂的民那里去，乃是往以色列家去；不是往那说话深奥、言语难懂的多国去，他们的话语是你不懂得的。我若差你往他们那里去，他们必听从你。以色列家却不肯听从你』	（结3：5-7）
『在我圣山的遍处，这一切都不伤人，不害物；因为认识耶和华的知识要充满遍地，好像水充满洋海一般』	（赛11：9）
『认识耶和华荣耀的知识要充满遍地，好像水充满洋海一般』	（哈2：14）
『我的百姓愚顽，不认识我；他们是愚昧无知的儿女，有智慧行恶，没有知识行善』	（耶4：22）
『连先知带祭司在国中往来，也是毫无知识	（或译：不知怎样才好）』	（耶14：18）
『我的民因无知识而灭亡。你弃掉知识，我也必弃掉你』	（何4：6）
『他说有，就有；命立，就立』	（诗33：9）
『神说：要有光，就有了光』	（创1：3）
『你万事都能做；你的旨意不能拦阻』	（伯42：2）
『不愿有一人沉沦』	（彼后3：9）
『恶人死亡，岂是我喜悦的吗？不是喜悦他回头离开所行的道存活吗？』	（结18：23）
『我断不喜悦恶人死亡，惟喜悦恶人转离所行的道而活』	（结33：11）
『耶稣从那里起身，往推罗西顿的境内去。进了一家，不愿意人知道，却隐藏不住』	（太7：24）
『倘若神要显明他的忿怒，彰显他的权能，就、、、那可怒预备遭毁灭的器皿』	（罗9：22）
『父啊，是的，因为你的美意本是如此』	（太11：26）
『圣灵立你们作全群的监督，你们就当、、、牧养神的教会』	（徒20：28）
『作监督的，必须、、、善于教导』	（提前3：2）
『监督、、、坚守所教真实的道理，就能将纯正的教训劝化人，又能把争辩的人驳倒了』	（多1：9）
